Категория,Функция,Команда/Описание,Статус
Управление данными,Добавление клиентов,/add_client,✅ Реализовано
Управление данными,Добавление проектов,/add_project,✅ Реализовано
Управление данными,Просмотр клиентов,/clients,✅ Реализовано
Управление данными,Просмотр проектов,/projects,✅ Реализовано
Учёт времени,Начать работу (таймер),/work,✅ Реализовано
Учёт времени,Остановить работу,/stop,✅ Реализовано
Учёт времени,Проверить статус,/status,✅ Реализовано
Типы задач,Подготовка иска,Выбор при /work,✅ Реализовано
Типы задач,Подготовка договора,Выбор при /work,✅ Реализовано
Типы задач,Консультация,Выбор при /work,✅ Реализовано
Типы задач,Изучение материалов,Выбор при /work,✅ Реализовано
Типы задач,Судебное заседание,Выбор при /work,✅ Реализовано
Типы задач,Переговоры,Выбор при /work,✅ Реализовано
Типы задач,Анализ документов,Выбор при /work,✅ Реализовано
Типы задач,Переписка с клиентом,Выбор при /work,✅ Реализовано
Типы задач,Исследование практики,Выбор при /work,✅ Реализовано
Типы задач,Подготовка заявления,Выбор при /work,✅ Реализовано
Типы задач,Произвольная задача,+ описание,✅ Реализовано
Отчётность,Отчёт за день,/today,✅ Реализовано
Отчётность,Отчёт за неделю,/week,✅ Реализовано
Отчётность,Отчёт за месяц,/month,✅ Реализовано
Отчётность,Сводка по клиентам,/summary,✅ Реализовано
Отчётность,Экспорт в Excel,/export,✅ Реализовано
Технические,База данных SQLite,3 таблицы,✅ Реализовано
Технические,Расчёт стоимости,Автоматически,✅ Реализовано
Технические,Многопользовательский режим,Изолированные данные,✅ Реализовано
Технические,Локальное хранение,Без облака,✅ Реализовано
